Date,CAU,Account,Region,Product,Operation,UsageType,Cost
2017-08-10T13:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,r3.8xlarge,240.0
2017-08-10T13:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,9.6
2017-08-10T13:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.8999999999999999
2017-08-10T13:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,56.0
2017-08-10T14:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,r3.8xlarge,240.0
2017-08-10T14:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,9.6
2017-08-10T14:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.8999999999999999
2017-08-10T14:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,56.0
2017-08-10T15:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,r3.8xlarge,240.0
2017-08-10T15:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,9.6
2017-08-10T15:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.8999999999999999
2017-08-10T15:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,56.0
2017-08-10T16:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,r3.8xlarge,240.0
2017-08-10T16:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,9.6
2017-08-10T16:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.8999999999999999
2017-08-10T16:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,56.0
2017-08-10T17:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,r3.8xlarge,240.0
2017-08-10T17:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,9.6
2017-08-10T17:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.8999999999999999
2017-08-10T17:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,56.0
2017-08-10T18:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,r3.8xlarge,240.0
