Date,CAU,Type
2017-08-10T19:00:00,PROD/ProjectA/Backend,Shutdown
2017-08-10T19:00:00,DEV/ProjectB/Backend,Shutdown
2017-08-10T19:00:00,DEV/ProjectA/Frontend,Shutdown
2017-08-10T19:00:00,PROD/ProjectB/Backend,Shutdown
2017-08-11T01:00:00,PROD/ProjectA/Backend,decrease_iops
2017-08-11T01:00:00,DEV/ProjectB/Backend,decrease_iops
2017-08-11T01:00:00,DEV/ProjectA/Frontend,decrease_iops
2017-08-11T01:00:00,PROD/ProjectB/Backend,decrease_iops
2017-08-11T04:00:00,PROD/ProjectA/Backend,increase_iops
2017-08-11T04:00:00,DEV/ProjectB/Backend,increase_iops
2017-08-11T04:00:00,DEV/ProjectA/Frontend,increase_iops
2017-08-11T04:00:00,PROD/ProjectB/Backend,increase_iops
2017-08-11T08:00:00,PROD/ProjectA/Backend,reStart
2017-08-11T08:00:00,DEV/ProjectB/Backend,reStart
2017-08-11T08:00:00,DEV/ProjectA/Frontend,reStart
2017-08-11T08:00:00,PROD/ProjectB/Backend,reStart
2017-08-11T19:00:00,PROD/ProjectA/Backend,Shutdown
2017-08-11T19:00:00,DEV/ProjectB/Backend,Shutdown
2017-08-11T19:00:00,DEV/ProjectA/Frontend,Shutdown
2017-08-11T19:00:00,PROD/ProjectB/Backend,Shutdown
2017-08-12T01:00:00,PROD/ProjectA/Backend,decrease_iops
2017-08-12T01:00:00,DEV/ProjectB/Backend,decrease_iops
2017-08-12T01:00:00,DEV/ProjectA/Frontend,decrease_iops
2017-08-12T01:00:00,PROD/ProjectB/Backend,decrease_iops
2017-08-12T04:00:00,PROD/ProjectA/Backend,increase_iops
2017-08-12T04:00:00,DEV/ProjectB/Backend,increase_iops
2017-08-12T04:00:00,DEV/ProjectA/Frontend,increase_iops
2017-08-12T04:00:00,PROD/ProjectB/Backend,increase_iops
2017-08-12T05:00:00,PROD/ProjectA/Backend,RIStart
2017-08-12T05:00:00,DEV/ProjectB/Backend,RIStart
2017-08-12T05:00:00,DEV/ProjectA/Frontend,RIStart
2017-08-12T05:00:00,PROD/ProjectB/Backend,RIStart
2017-08-12T08:00:00,PROD/ProjectA/Backend,reStart
2017-08-12T08:00:00,DEV/ProjectB/Backend,reStart
2017-08-12T08:00:00,DEV/ProjectA/Frontend,reStart
2017-08-12T08:00:00,PROD/ProjectB/Backend,reStart
2017-08-12T19:00:00,PROD/ProjectA/Backend,Shutdown
2017-08-12T19:00:00,DEV/ProjectB/Backend,Shutdown
2017-08-12T19:00:00,DEV/ProjectA/Frontend,Shutdown
2017-08-12T19:00:00,PROD/ProjectB/Backend,Shutdown
2017-08-13T01:00:00,PROD/ProjectA/Backend,decrease_iops
2017-08-13T01:00:00,DEV/ProjectB/Backend,decrease_iops
2017-08-13T01:00:00,DEV/ProjectA/Frontend,decrease_iops
2017-08-13T01:00:00,PROD/ProjectB/Backend,decrease_iops
2017-08-13T04:00:00,PROD/ProjectA/Backend,increase_iops
2017-08-13T04:00:00,DEV/ProjectB/Backend,increase_iops
2017-08-13T04:00:00,DEV/ProjectA/Frontend,increase_iops
2017-08-13T04:00:00,PROD/ProjectB/Backend,increase_iops
2017-08-13T08:00:00,PROD/ProjectA/Backend,reStart
2017-08-13T08:00:00,DEV/ProjectB/Backend,reStart
2017-08-13T08:00:00,DEV/ProjectA/Frontend,reStart
2017-08-13T08:00:00,PROD/ProjectB/Backend,reStart
2017-08-13T19:00:00,PROD/ProjectA/Backend,Shutdown
2017-08-13T19:00:00,DEV/ProjectB/Backend,Shutdown
2017-08-13T19:00:00,DEV/ProjectA/Frontend,Shutdown
2017-08-13T19:00:00,PROD/ProjectB/Backend,Shutdown
