Date,CAU,Type
2017-08-10T19:00:00,DEV/ProjectB/Backend,Shutdown
2017-08-10T19:00:00,PROD/ProjectA/Frontend,Shutdown
2017-08-10T19:00:00,PROD/ProjectA/Backend,Shutdown
2017-08-11T01:00:00,DEV/ProjectB/Backend,decrease_iops
2017-08-11T01:00:00,PROD/ProjectA/Frontend,decrease_iops
2017-08-11T01:00:00,PROD/ProjectA/Backend,decrease_iops
2017-08-11T08:00:00,DEV/ProjectB/Backend,reStart
2017-08-11T08:00:00,PROD/ProjectA/Frontend,reStart
2017-08-11T08:00:00,PROD/ProjectA/Backend,reStart
2017-08-11T12:00:00,DEV/ProjectB/Backend,increase_iops
2017-08-11T12:00:00,PROD/ProjectA/Frontend,increase_iops
2017-08-11T12:00:00,PROD/ProjectA/Backend,increase_iops
2017-08-11T13:00:00,DEV/ProjectB/Backend,RIStart
2017-08-11T13:00:00,PROD/ProjectA/Backend,RIStart
2017-08-11T13:00:00,PROD/ProjectA/Frontend,RIStart
2017-08-11T19:00:00,DEV/ProjectB/Backend,Shutdown
2017-08-11T19:00:00,PROD/ProjectA/Frontend,Shutdown
2017-08-11T19:00:00,PROD/ProjectA/Backend,Shutdown
2017-08-12T01:00:00,DEV/ProjectB/Backend,decrease_iops
2017-08-12T01:00:00,PROD/ProjectA/Frontend,decrease_iops
2017-08-12T01:00:00,PROD/ProjectA/Backend,decrease_iops
2017-08-12T08:00:00,DEV/ProjectB/Backend,reStart
2017-08-12T08:00:00,PROD/ProjectA/Frontend,reStart
2017-08-12T08:00:00,PROD/ProjectA/Backend,reStart
2017-08-12T12:00:00,DEV/ProjectB/Backend,increase_iops
2017-08-12T12:00:00,PROD/ProjectA/Frontend,increase_iops
2017-08-12T12:00:00,PROD/ProjectA/Backend,increase_iops
